dates;rgdp;pgdp;pcomm;ff;totres;nbres;rcons;rinv;spread
1996,75;11212,205;76,23623906;129,4682894;5,29;49,90603951;49689,83239;7233,918;1715,245;0,84
1997;11284,587;76,70986753;127,4713617;5,39;48,4946654;48239,02043;7310,17;1749,879;0,79
1997,25;11472,137;76,91675473;127,0181243;5,56;47,03916414;46769,68221;7343,08;1856,956;0,92
1997,5;11615,636;77,19257254;127,485684;5,54;46,71857362;46371,34504;7468,188;1882,955;0,96
1997,75;11715,393;77,44874932;127,1733909;5,5;46,53121057;46248,28832;7557,449;1911,048;0,96
1998;11832,486;77,57493362;124,8616242;5,49;45,63848588;45482,18074;7633,895;1994,375;1,04
1998,25;11942,032;77,73725989;124,620028;5,56;45,71669534;45551,62745;7768,323;1982,058;1,07
1998,5;12091,614;78,028031;123,7795063;5,51;44,94648553;44777,4927;7869,624;2033,015;1,8
1998,75;12287;78,27190785;123,1817631;4,68;44,56573961;44446,4233;7983,316;2095,76;1,58
1999;12403,293;78,66264064;122,7462874;4,81;44,39397566;44183,85001;8060,776;2153,308;1,45
1999,25;12498,694;78,92714717;125,0194855;4,76;43,77336057;43590,8934;8178,302;2154,652;1,4
1999,5;12662,385;79,21247013;127,9754325;5,22;41,9450044;41717,67092;8270,609;2213,773;1,49
1999,75;12877,593;79,57532028;128,2166138;5,3;41,36260196;41107,11527;8391,791;2273,095;1,19
2000;12924,179;80,18334218;130,9308755;5,85;41,22358807;40932,15546;8520,71;2257,109;1,57
2000,25;13160,842;80,63732275;133,6092066;6,53;40,70466968;40298,20862;8603,007;2390,733;1,66
2000,5;13178,419;81,15992796;134,6844398;6,52;39,74201547;39329,61928;8687,485;2367,274;1,84
2000,75;13260,506;81,59688272;136,6618931;6,4;38,90518558;38564,81994;8762,205;2371,809;2,04
2001;13222,69;82,10895489;136,009462;5,31;38,11402287;37980,25901;8797,28;2264,202;2,13
2001,25;13299,984;82,68891332;135,3155819;3,97;38,92616165;38723,33253;8818,079;2267,433;1,83
2001,5;13244,784;82,95984778;133,2954648;3,07;45,73399945;44565,36102;8848,3;2218,37;2,57
2001,75;13280,859;83,2105486;128,5571808;1,82;42,31990314;42250,63236;8980,61;2108,5;1,54
2002;13397,002;83,4767826;129,8830017;1,73;41,25909087;41182,35472;9008,096;2170,707;1,48
2002,25;13478,152;83,78834874;130,7346468;1,75;40,15779472;40017,50453;9054,348;2206,375;1,75
2002,5;13538,072;84,16228393;132,3017207;1,75;39,47427027;39287,74874;9119,949;2203,109;2,46
2002,75;13559,032;84,61734189;133,3864774;1,24;39,98132193;39772,17594;9172,361;2201,749;2,26
2003;13634,253;85,13849786;141,2690479;1,25;41,05967379;40942,57324;9215,501;2218,685;1,94
2003,25;13751,543;85,41199567;137,84047;1,22;41,77296225;41710,7097;9318,994;2233,997;1,62
2003,5;13985,073;85,88436496;138,5066201;1,01;44,50733486;44465,34811;9455,687;2315,399;1,47
2003,75;14145,645;86,29201077;140,0133755;0,98;43,64325246;43505,86056;9519,802;2393,402;1,36
2004;14221,147;87,04454695;143,1673908;1;43,97881095;43810,06284;9604,507;2398,151;1,51
2004,25;14329,523;87,80250568;147,0502339;1,03;46,03736222;45914,35312;9664,264;2493,945;1,29
2004,5;14464,984;88,34224083;147,7049629;1,61;46,16729929;46071,42467;9771,136;2532,635;1,33
2004,75;14609,876;88,96226125;150,742893;2,16;46,81387136;46632,23162;9877,416;2585,477;1,19
2005;14771,602;89,78627026;153,7700583;2,63;46,9893996;46819,00435;9935,048;2658,163;0,9
2005,25;14839,782;90,43809733;154,1740956;3,04;46,31136465;46123,5332;10047,766;2622,793;0,97
2005,5;14972,054;91,28331451;162,1991245;3,62;46,06007444;45841,10461;10145,297;2657,458;0,88
2005,75;15066,597;91,97616603;163,5790278;4,16;45,71343224;45451,94588;10175,424;2743,846;0,87
